well_id,hour,q_it,e_it
W07,3,19.893,53.461
W07,4,19.669,52.198
W07,5,19.555,52.239
W07,6,19.231,52.497
W07,7,18.997,51.376
W07,8,18.707,49.213
W07,9,18.196,47.92
W07,10,17.46,47.055
W07,11,17.517,44.803
W07,12,16.949,43.566
W07,13,16.979,42.804
W07,14,17.114,41.786
W07,15,17.333,41.451
W07,16,17.086,42.491
W07,17,17.794,42.45
W07,18,18.105,44.088
W07,19,18.294,43.71
W07,20,18.982,44.917
W07,21,19.16,47.181
W07,22,19.606,48.41
W07,23,19.544,49.098
W08,0,20.739,53.004
W08,1,21.034,53.536
W08,2,21.333,54.876
W08,3,20.629,54.254
W08,4,20.488,54.436
W08,5,20.468,53.96
W08,6,19.961,53.204
W08,7,19.683,52.559
W08,8,18.9,49.635
W08,9,18.799,49.441
W08,10,18.171,47.399
W08,11,18.536,46.248
W08,12,18.03,45.935
W08,13,17.858,44.49
W08,14,18.314,44.287
W08,15,18.42,44.207
W08,16,18.134,44.606
W08,17,18.789,43.446
W08,18,18.968,44.991
W08,19,19.481,46.072
W08,20,20.026,47.992
W08,21,20.532,49.612
W08,22,20.808,50.776
W08,23,20.917,52.048
W09,0,22.38,54.876
W09,1,22.755,56.862
W09,2,22.652,57.353
W09,3,22.21,57.444
W09,4,22.163,56.997
W09,5,21.511,55.67
W09,6,21.165,54.508
W09,7,20.933,53.422
W09,8,20.726,53.633
W09,9,20.11,50.584
W09,10,19.662,49.527
W09,11,19.671,48.449
W09,12,19.591,46.595
W09,13,19.865,46.051
W09,14,19.39,46.829
W09,15,19.812,45.504
W09,16,20.275,46.548
W09,17,20.575,46.662
W09,18,20.868,47.438
W09,19,21.47,48.424
W09,20,21.993,49.549
W09,21,22.43,52.741
W09,22,22.59,53.044
W09,23,22.831,55.192
W10,0,23.541,60.894
W10,1,23.664,61.025
W10,2,23.242,61.592
W10,3,23.257,61.364
W10,4,22.938,61.545
W10,5,22.001,59.697
W10,6,21.853,59.391
W10,7,21.157,57.393
W10,8,21.4,55.875
W10,9,20.598,55.035
W10,10,20.767,53.408
W10,11,20.531,51.667
W10,12,20.151,50.707
W10,13,20.674,49.132
W10,14,20.879,48.83
W10,15,21.186,50.281
W10,16,21.476,49.557
W10,17,21.398,51.326
W10,18,21.943,51.71
W10,19,22.367,53.259
W10,20,23.177,53.834
W10,21,23.35,57.106
W10,22,23.256,57.315
W10,23,23.795,59.246
